"<a href=""https://developers.google.com/search/docs/data-types/local-business"" target=""_blank"">Learn more</a>.","<a href=""https://developers.google.com/search/docs/data-types/local-business"" target=""_blank"">Learn more</a>."
"Add New","Add New"
Delete,Delete
"Delete Holidays","Delete Holidays"
"Are you sure you want to delete selected Holidays?","Are you sure you want to delete selected Holidays?"
"Change status","Change status"
Yes,Yes
No,No
"No. of Locations","No. of Locations"
"Created Date","Created Date"
Edit,Edit
"Store View","Store View"
"Delete Locations","Delete Locations"
"Are you sure you want to delete selected Locations?","Are you sure you want to delete selected Locations?"
"Change visibility","Change visibility"
"Zip code","Zip code"
